title,composedby,key,timesig,bars,chordprog,key_tonic_pc,key_mode,key_score,num_tokens,funcional_prog,key_estimada,rare_chords
Lullaby of Birdland,George Shearing,Ab,4 4,32,"Fm7 Dm7b5 | G7b9 C7b9 | Fm7 DbM7 | Bbm7 Eb7 |
Cm7 Fm7 | Bbm7 Eb7b9 | AbM7 Db7 | Gm7b5 C7 |
Fm7 Dm7b5 | G7b9 C7b9 | Fm7 DbM7 | Bbm7 Eb7 |
Cm7 Fm7 | Bbm7 Eb7b9 | AbM7 Eb7 | AbM7 |
F7b9 | Bbm7 | Bbm7 Eb7b9 | AbM7 |
F7b9 | Bbm7 | Eb7b9 | AbM7 C7alt |
Fm7 Dm7b5 | G7b9 C7b9 | Fm7 DbM7 | Bbm7 Eb7 |
Cm7 Fm7 | Bbm7 Eb7b9 | AbM7 Eb7 | AbM7 C7alt |",8,major,88.80000000000001,57,vi (6) VII7 III7 vi IV ii V7 iii vi ii V7 I IV7 viiø III7 vi (6) VII7 III7 vi IV ii V7 iii vi ii V7 I V7 I VI7 ii ii V7 I VI7 ii V7 I III7 vi (6) VII7 III7 vi IV ii V7 iii vi ii V7 I V7 I III7,Ab,3
It's A Most Unusual Day,Jimmy McHugh and HYarold Adamson,G,3 4,72,"F#/G F#/G G | Em7 | Am7 | D7 |
F#/G F#/G G | Em7 | Am7 | D7 |
G/B | CM7 | C#o7 | G/D |
Bm7 | Em7 | A7 | D7 |
F#/G F#/G G | Em7 | Am7 | D7 |
F#/G F#/G G | Em7 | Am7 | D7 |
G/B | CM7 | C#o7 | G/D |
Am7 | D7 | G6 | G6 Em7 Ebm7 |
Dm7 | G7 | CM7 | C6 Em7 Ebm7 |
Dm7 | G7 | CM7 | C6 F#m7 Fm7 |
Em7 | A7 | DM7 | D6 |
Am7 | D7 | Am7 | D7 |
F#/G F#/G G | Em7 | Am7 | D7 |
F#/G F#/G G | Em7 | Am7 | D7 |
G/B | CM7 | C#o7 | G/D |
Bm7 | Em7 | A7 | D7 |
Bm7 | CM7 | Bm7 | CM7 |
Bm7 | Am7 Am7 D7b9 | G6 | D7sus4 |",7,major,137.40000000000003,92,VII VII I vi ii V7 VII VII I vi ii V7 I IV (6) I iii vi II7 V7 VII VII I vi ii V7 VII VII I vi ii V7 I IV (6) I ii V7 I I vi bvi v I7 IV IV vi bvi v I7 IV IV vii bvii vi II7 V V ii V7 ii V7 VII VII I vi ii V7 VII VII I vi ii V7 I IV (6) I iii vi II7 V7 iii IV iii IV iii ii ii V7 I V7,G,3
Jump Monk,Charles Mingus,Ab,4 4,54,"Fm7 DbM7 | G7b5 C7 | Fm7 DbM7 | G7b5 C7 |
Fm7 | DbM7 | Gm7b5 | C7 |
Fm7 | DbM7 | Gm7b5 | C7 |
Fm7 | Fm7/Eb | Db7 | C7 |
Bbm7 | Bbm7/Ab | Gm7b5 | Gb7 |
Bbm7 | GbM7 | Cm7b5 | F7 |
Bbm7 | GbM7 | Cm7b5 | F7 |
Bbm7 | GbM7 | Cm7b5 | F7 |
Bbm7 | Ab7 | Gm7b5 | C7 |
Fm7 | DbM7 | Gm7b5 | C7 |
Fm7 | DbM7 | Gm7b5 | C7 |
Fm7 | Fm7/Eb | Db7 | C7 |
Bbm7 | Bbm7/Ab | Gm7b5 | Gb7 |
GbM7 | GbM7 |",5,minor,84.99999999999999,58,i VI II7 V7 i VI II7 V7 i VI iiø V7 i VI iiø V7 i i VI7 V7 iv iv iiø bII7 iv bII vø I7 iv bII vø I7 iv bII vø I7 iv III7 iiø V7 i VI iiø V7 i VI iiø V7 i i VI7 V7 iv iv iiø bII7 bII bII,Fm,0
Nuages,Django Reinhardt and Jacques Larme,G,4 4,32,"Bbm7 Eb7 | Am7b5 D7b9 | G6 Am7 | Bm7 |
Bbm7 Eb7 | Am7b5 D7b9 | G6 | G6 |
F#m7b5 | B7 | Em7 | Em7 |
A7 Ab7 | A7 | D7 Am7 | D7 |
Bbm7 Eb7 | Am7b5 D7b9 | G6 | G6 |
Ebm7 Ab7 | Dm7b5 G7b9 | CM7 | CM7 |
Cm7 F7 | Cm7 F7 | G6 Am7 | Bm7 |
Bbm7 Eb7 | Am7b5 D7b9 | G6 C9 | G6 |",7,major,55.199999999999974,49,biii bVI7 iiø V7 I ii iii biii bVI7 iiø V7 I I viiø III7 vi vi II7 bII7 II7 V7 ii V7 biii bVI7 iiø V7 I I bvi bII7 vø I7 IV IV iv bVII7 iv bVII7 I ii iii biii bVI7 iiø V7 I IV7 I,G,0
Love Me Do,John Lennon and Paul McCartney,G,4 4,48,"G | C | G | C |
G | C | C | C |
C | G | C | G |
C | G | C | G |
C | G | C | C |
C | C | G | C |
G | G | D | D |
C G | G | D | D |
C G | G | G | C |
G | C | G | C |
C | C | C | G |
G | C | G | G |",7,major,93.6,50,I IV I IV I IV IV IV IV I IV I IV I IV I IV I IV IV IV IV I IV I I V V IV I I V V IV I I I IV I IV I IV IV IV IV I I IV I I,G,0
I'll Never Smile Again,Ruth Lowe,C,4 4,32,"Gm7/C | Gm7/C C7 | FM7/C | Abo7/C |
Gm7/C | Gm7/C C7 | FM7 | Cm7 F7 |
Bm7b5 Bbm6 | Am+ | Bbm7 Eb7 | Dm7 |
Bm7b5 E7 | Am7 D7 | Dm7 G7 | Gm7/C Abo7/C |
Gm7/C | Gm7/C C7 | FM7/C | Abo7/C |
Gm7/C | Gm7/C C7 | FM7 | Cm7 F7 |
BbM7 | Eb7 | FM7 | Am7 D7 |
Gm7 | Gm7 C7 | FM7 | Am7b5 D7b9 |",5,major,61.399999999999984,47,ii ii V7 I biii ii ii V7 I v I7 (6) iv iii iv bVII7 vi (6) VII7 iii VI7 vi II7 ii biii ii ii V7 I biii ii ii V7 I v I7 IV bVII7 I iii VI7 ii ii V7 I iiiø VI7,F,2
I Didn't Know What Time It Was,Richard Rodgers,G,4 4,36,"F#m7b5 B7 | Em | F#m7b5 B7 | Em |
Am7 D7 | Em7 Em7 Em7 Bm | CM7 CM7 CM7 Bm | Am Am Dm7 D7 |
F#m7b5 B7 | Em | F#m7b5 B7 | Em |
Am7 D7 | Em7 Em7 Em7 Bm | CM7 CM7 CM7 Bm | Am Am F6 D7 |
G | Am B7 | Am B7 | Em |
CM7 D7 | G | Em7 A7 | D7 |
F#m7b5 B7 | Em | F#m7b5 B7 | Em |
Am7 | Em7 Em7 Em7 Bm | CM7 CM7 CM7 Bm | Am7 Am7 Am7 Cm6 |
G G G B7 | Am7 D7 | G | Em6 D7 |",7,major,138.80000000000004,80,viiø III7 vi viiø III7 vi ii V7 vi vi vi iii IV IV IV iii ii ii v V7 viiø III7 vi viiø III7 vi ii V7 vi vi vi iii IV IV IV iii ii ii bVII V7 I ii III7 ii III7 vi IV V7 I vi II7 V7 viiø III7 vi viiø III7 vi ii vi vi vi iii IV IV IV iii ii ii ii iv I I I III7 ii V7 I vi V7,G,0
Mister Sandman,Pat Ballard,Bb,4 4,32,"BbM7 | BbM7 | E7 | A7 |
D7alt | D7alt | G7+ | G7+ |
C7 | C7 | F7 | F7 |
Dm7 | C#o7 | Gb7 | F7 |
BbM7 | BbM7 | E7 | A7 |
D7alt | D7alt | G7+ | G7+ |
Cm7 | Cm7 | Ebm7 | Ab7 |
BbM7 | C7 F7 | BbM7 | Cm7 F7b9 |",10,major,36.8,34,I I (6) VII7 III7 III7 VI7 VI7 II7 II7 V7 V7 iii biii bVI7 V7 I I (6) VII7 III7 III7 VI7 VI7 ii ii iv bVII7 I II7 V7 I ii V7,Bb,2
Hurt So Bad,"Teddy Randazzo, Bobby Hart, and Bobby Wilding",Eb,4 4,56,"Fm7 | Gm7 | Fm7 | EbM7 |
Bbm7 | Cm7 F7 | GM7 | GM7 |
AbM7 | Gm7 | AbM7 | Gm7 |
AbM7 | Gm7 | Cm | Cm |
Fm7 | Gm7 | Fm7 | EbM7 |
Bbm7 | Cm7 F7 | GM7 | GM7 |
AbM7 | Gm7 | AbM7 | Gm7 |
AbM7 | Gm7 | Cm | Cm |
AbM7 | Gm7 | AbM7 | Gm7 |
Cm Gm7 | AbM7 Bb7 | Ab6 Gm7 | Fm7 Bb7 |
AbM7 | Gm7 | AbM7 | Gm7 |
AbM7 | Gm7 | Cm | Fm7 Bb7 |
AbM7 | Gm7 | AbM7 | Gm7 |
AbM7 | Gm7 | Cm | Cm |",3,major,113.19999999999999,63,ii iii ii I v vi II7 III III IV iii IV iii IV iii vi vi ii iii ii I v vi II7 III III IV iii IV iii IV iii vi vi IV iii IV iii vi iii IV V7 IV iii ii V7 IV iii IV iii IV iii vi ii V7 IV iii IV iii IV iii vi vi,Eb,0
Life's Full of Consequence,Harold Arlen,C,4 4,37,"C Dm7 | C Gm7 | C Dm7 | Gm7 Gm7 Gm7 G7 |
C Dm7 | C Gm7 | C Dm7 | Dm7 E7 |
Am | F | Dm | Dm F+ Dm7 G+ |
C | C C Gm7 Do7 | Am Am C+ Am7 | Dm7 Dm7 Dm7 E7 |
Am6 Am6 Fm6 G7 | C | Gm7 G7 | C Dm7 |
C Gm7 | C Dm7 | Gm7 Gm7 Gm7 G7 | C Dm7 |
C Gm7 | C Dm7 | Dm7 E7 | Am |
F | Dm | Dm F+ Dm7 G+ | C Dm7 |
C C Gm7 Do7 | Am Am C+ Am7 | Dm7 Dm7 Dm7 E7 | Am6 Am6 Fm6 G7 |
C |",0,major,139.50000000000006,89,I ii I v I ii v v v V7 I ii I v I ii ii III7 vi IV ii ii IV7 ii V7 I I I v iio vi vi I7 vi ii ii ii III7 vi vi iv V7 I v V7 I ii I v I ii v v v V7 I ii I v I ii ii III7 vi IV ii ii IV7 ii V7 I ii I I v iio vi vi I7 vi ii ii ii III7 vi vi iv V7 I,C,0
One Finger Snap,Herbie Hancock,C,4 4,20,"NC | NC | NC NC NC NC NC NC NC AM13#11 | AM13#11 |
Bbm7/Eb | Eb7 | Bbm7/Eb | Eb7 |
Ebm7 | Ab7 | Ebm7 | Ab7 |
Gm7b5 | C7b9 | Fm7b5 | Bb7b9 |
EbM7 | EbM7 | Dm7b5 | G7b9 |",1,major,15.100000000000003,18,bVI bVI vi II7 vi II7 ii V7 ii V7 (6) VII7 iiiø VI7 II II bii (6),Db,2
